ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %,Solution Link
366,Find Leaves of Binary Tree,https://leetcode.com/problems/find-leaves-of-binary-tree,Y,80.10%,Medium,34.7751%;,
367,Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square,N,43.30%,Easy,11.6922%;,
373,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,N,38.30%,Medium,30.6958%;,
377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv,N,52.10%,Medium,7.45367%;,
378,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,N,61.60%,Medium,13.5345%;,
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,N,52.00%,Medium,33.9317%;,
381,Insert Delete GetRandom O(1) - Duplicates allowed,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,N,35.70%,Hard,11.8533%;,
383,Ransom Note,https://leetcode.com/problems/ransom-note,N,57.60%,Easy,19.8147%;,
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string,N,59.00%,Easy,20.4803%;,
390,Elimination Game,https://leetcode.com/problems/elimination-game,N,46.50%,Medium,8.13372%;,
392,Is Subsequence,https://leetcode.com/problems/is-subsequence,N,49.00%,Easy,4.13721%;,
394,Decode String,https://leetcode.com/problems/decode-string,N,57.60%,Medium,24.2782%;,
395,Longest Substring with At Least K Repeating Characters,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,N,44.80%,Medium,4.36651%;,
397,Integer Replacement,https://leetcode.com/problems/integer-replacement,N,35.10%,Medium,10.5314%;,
399,Evaluate Division,https://leetcode.com/problems/evaluate-division,N,59.60%,Medium,50.8975%;,
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits,N,30.50%,Medium,10.9156%;,
403,Frog Jump,https://leetcode.com/problems/frog-jump,N,43.10%,Hard,15.4166%;,
406,Queue Reconstruction by Height,https://leetcode.com/problems/queue-reconstruction-by-height,N,72.80%,Medium,9.76992%;,
407,Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii,N,47.50%,Hard,19.8963%;,
409,Longest Palindrome,https://leetcode.com/problems/longest-palindrome,N,54.60%,Easy,5.31245%;,
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum,N,53.30%,Hard,18.7251%;,
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz,N,68.90%,Easy,4.82002%;,
414,Third Maximum Number,https://leetcode.com/problems/third-maximum-number,N,32.60%,Easy,6.44907%;,
415,Add Strings,https://leetcode.com/problems/add-strings,N,52.60%,Easy,4.02748%;,
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,N,46.60%,Medium,5.05328%;,
417,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow,N,54.00%,Medium,23.3085%;,
419,Battleships in a Board,https://leetcode.com/problems/battleships-in-a-board,N,74.70%,Medium,6.05172%;,
420,Strong Password Checker,https://leetcode.com/problems/strong-password-checker,N,14.30%,Hard,31.9628%;,
421,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,N,54.50%,Medium,10.5314%;,
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement,N,51.50%,Medium,19.8963%;,
432,All O`one Data Structure,https://leetcode.com/problems/all-oone-data-structure,N,36.70%,Hard,22.5746%;,
433,Minimum Genetic Mutation,https://leetcode.com/problems/minimum-genetic-mutation,N,52.00%,Medium,4.96245%;,
435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,N,49.90%,Medium,4.10177%;,
437,Path Sum III,https://leetcode.com/problems/path-sum-iii,N,48.70%,Medium,12.0432%;,
438,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string,N,49.00%,Medium,19.3228%;,
441,Arranging Coins,https://leetcode.com/problems/arranging-coins,N,46.10%,Easy,5.3795%;,
442,Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array,N,73.40%,Medium,15.4765%;,
443,String Compression,https://leetcode.com/problems/string-compression,N,48.90%,Medium,10.9156%;,
445,Add Two Numbers II,https://leetcode.com/problems/add-two-numbers-ii,N,59.50%,Medium,15.6541%;,
448,Find All Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,N,59.70%,Easy,1.40478%;,
449,Serialize and Deserialize BST,https://leetcode.com/problems/serialize-and-deserialize-bst,N,56.80%,Medium,23.687%;,
450,Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst,N,50.00%,Medium,2.95194%;,
451,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency,N,68.60%,Medium,3.27249%;,
452,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,N,53.20%,Medium,6.05172%;,
453,Minimum Moves to Equal Array Elements,https://leetcode.com/problems/minimum-moves-to-equal-array-elements,N,55.70%,Medium,7.76389%;,
455,Assign Cookies,https://leetcode.com/problems/assign-cookies,N,50.50%,Easy,3.21182%;,
456,132 Pattern,https://leetcode.com/problems/132-pattern,N,32.50%,Medium,5.79688%;,
458,Poor Pigs,https://leetcode.com/problems/poor-pigs,N,64.40%,Hard,11.2349%;,
460,LFU Cache,https://leetcode.com/problems/lfu-cache,N,40.40%,Hard,40.1815%;,
462,Minimum Moves to Equal Array Elements II,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,N,60.20%,Medium,17.4543%;,
463,Island Perimeter,https://leetcode.com/problems/island-perimeter,N,69.50%,Easy,2.80847%;,
465,Optimal Account Balancing,https://leetcode.com/problems/optimal-account-balancing,Y,49.30%,Hard,16.6017%;,
472,Concatenated Words,https://leetcode.com/problems/concatenated-words,N,45.80%,Hard,93.1081%;,
474,Ones and Zeroes,https://leetcode.com/problems/ones-and-zeroes,N,46.70%,Medium,6.33026%;,
475,Heaters,https://leetcode.com/problems/heaters,N,36.10%,Medium,11.83%;,
480,Sliding Window Median,https://leetcode.com/problems/sliding-window-median,N,41.40%,Hard,22.7875%;,
490,The Maze,https://leetcode.com/problems/the-maze,Y,55.40%,Medium,8.23186%;,
493,Reverse Pairs,https://leetcode.com/problems/reverse-pairs,N,30.90%,Hard,25.6173%;,
494,Target Sum,https://leetcode.com/problems/target-sum,N,45.60%,Medium,4.668%;,
496,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,N,71.40%,Easy,24.3059%;,
502,IPO,https://leetcode.com/problems/ipo,N,44.90%,Hard,14.7215%;,
503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii,N,63.10%,Medium,28.1721%;,
506,Relative Ranks,https://leetcode.com/problems/relative-ranks,N,59.10%,Easy,5.74849%;,
516,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence,N,60.70%,Medium,6.09941%;,
518,Coin Change II,https://leetcode.com/problems/coin-change-ii,N,59.90%,Medium,21.999%;,
523,Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum,N,28.50%,Medium,8.6224%;,
525,Contiguous Array,https://leetcode.com/problems/contiguous-array,N,46.80%,Medium,6.51018%;,
527,Word Abbreviation,https://leetcode.com/problems/word-abbreviation,Y,60.30%,Hard,46.2616%;,
529,Minesweeper,https://leetcode.com/problems/minesweeper,N,65.50%,Medium,9.11345%;,
530,Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst,N,56.80%,Easy,4.53854%;,
531,Lonely Pixel I,https://leetcode.com/problems/lonely-pixel-i,Y,62.10%,Medium,33.0855%;,
538,Convert BST to Greater Tree,https://leetcode.com/problems/convert-bst-to-greater-tree,N,67.40%,Medium,35.1133%;,
539,Minimum Time Difference,https://leetcode.com/problems/minimum-time-difference,N,56.30%,Medium,6.51018%;,
540,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array,N,58.50%,Medium,39.8822%;,
542,01 Matrix,https://leetcode.com/problems/01-matrix,N,44.20%,Medium,20.5452%;,
543,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,N,56.10%,Easy,22.305%;,
545,Boundary of Binary Tree,https://leetcode.com/problems/boundary-of-binary-tree,Y,44.30%,Medium,57.8269%;,
547,Number of Provinces,https://leetcode.com/problems/number-of-provinces,N,63.30%,Medium,40.2711%;,
1730,Shortest Path to Get Food,https://leetcode.com/problems/shortest-path-to-get-food,Y,54.10%,Medium,32.3468%;,
556,Next Greater Element III,https://leetcode.com/problems/next-greater-element-iii,N,34.10%,Medium,42.6427%;,
557,Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii,N,81.60%,Easy,1.39351%;,
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,N,44.00%,Medium,32.0896%;,
567,Permutation in String,https://leetcode.com/problems/permutation-in-string,N,43.70%,Medium,8.5413%;,
572,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree,N,46.00%,Easy,9.94543%;,
576,Out of Boundary Paths,https://leetcode.com/problems/out-of-boundary-paths,N,44.30%,Medium,14.3983%;,
581,Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,N,36.30%,Medium,18.6643%;,
583,Delete Operation for Two Strings,https://leetcode.com/problems/delete-operation-for-two-strings,N,59.40%,Medium,4.4797%;,
584,Find Customer Referee,https://leetcode.com/problems/find-customer-referee,N,73.00%,Easy,1.6369%;,
588,Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system,Y,48.80%,Hard,65.327%;,
595,Big Countries,https://leetcode.com/problems/big-countries,N,73.30%,Easy,3.40434%;,
603,Consecutive Available Seats,https://leetcode.com/problems/consecutive-available-seats,Y,68.30%,Easy,9.49603%;,
606,Construct String from Binary Tree,https://leetcode.com/problems/construct-string-from-binary-tree,N,63.60%,Easy,6.2725%;,
609,Find Duplicate File in System,https://leetcode.com/problems/find-duplicate-file-in-system,N,67.80%,Medium,14.0897%;,
618,Students Report By Geography,https://leetcode.com/problems/students-report-by-geography,Y,64.30%,Hard,26.6516%;,
621,Task Scheduler,https://leetcode.com/problems/task-scheduler,N,55.80%,Medium,18.1911%;,
623,Add One Row to Tree,https://leetcode.com/problems/add-one-row-to-tree,N,59.50%,Medium,11.6245%;,
628,Maximum Product of Three Numbers,https://leetcode.com/problems/maximum-product-of-three-numbers,N,46.40%,Easy,6.24716%;,
632,Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,N,60.60%,Hard,43.5016%;,
636,Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions,N,61.10%,Medium,22.4815%;,
642,Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system,Y,48.70%,Hard,22.1174%;,
645,Set Mismatch,https://leetcode.com/problems/set-mismatch,N,43.00%,Easy,7.87321%;,
646,Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain,N,56.40%,Medium,8.43555%;,
647,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings,N,66.40%,Medium,13.4513%;,
648,Replace Words,https://leetcode.com/problems/replace-words,N,62.70%,Medium,9.3649%;,
652,Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees,N,56.50%,Medium,7.5915%;,
653,Two Sum IV - Input is a BST,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,N,61.00%,Easy,21.622%;,
657,Robot Return to Origin,https://leetcode.com/problems/robot-return-to-origin,N,75.30%,Easy,4.8577%;,
658,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements,N,46.80%,Medium,29.1472%;,
662,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree,N,40.60%,Medium,9.8053%;,
665,Non-decreasing Array,https://leetcode.com/problems/non-decreasing-array,N,24.20%,Medium,16.3908%;,
669,Trim a Binary Search Tree,https://leetcode.com/problems/trim-a-binary-search-tree,N,66.30%,Medium,6.10543%;,
670,Maximum Swap,https://leetcode.com/problems/maximum-swap,N,47.90%,Medium,16.6494%;,
673,Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,N,42.30%,Medium,18.9445%;,
678,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string,N,33.90%,Medium,4.89212%;,
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii,N,39.30%,Easy,1.99929%;,
681,Next Closest Time,https://leetcode.com/problems/next-closest-time,Y,46.40%,Medium,27.9635%;,
684,Redundant Connection,https://leetcode.com/problems/redundant-connection,N,62.00%,Medium,6.82667%;,
688,Knight Probability in Chessboard,https://leetcode.com/problems/knight-probability-in-chessboard,N,52.10%,Medium,36.4372%;,
690,Employee Importance,https://leetcode.com/problems/employee-importance,N,65.20%,Medium,10.8714%;,
692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words,N,56.90%,Medium,22.9024%;,
694,Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands,Y,60.60%,Medium,30.1647%;,
695,Max Area of Island,https://leetcode.com/problems/max-area-of-island,N,71.70%,Medium,25.9623%;,
696,Count Binary Substrings,https://leetcode.com/problems/count-binary-substrings,N,65.60%,Easy,21.5744%;,
698,Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,N,40.80%,Medium,17.5652%;,
715,Range Module,https://leetcode.com/problems/range-module,N,44.70%,Hard,20.7845%;,
716,Max Stack,https://leetcode.com/problems/max-stack,Y,45.30%,Hard,18.8344%;,
719,Find K-th Smallest Pair Distance,https://leetcode.com/problems/find-k-th-smallest-pair-distance,N,36.40%,Hard,76.9036%;,
721,Accounts Merge,https://leetcode.com/problems/accounts-merge,N,56.40%,Medium,19.088%;,
724,Find Pivot Index,https://leetcode.com/problems/find-pivot-index,N,53.40%,Easy,9.07522%;,
729,My Calendar I,https://leetcode.com/problems/my-calendar-i,N,57.20%,Medium,7.95471%;,
733,Flood Fill,https://leetcode.com/problems/flood-fill,N,60.60%,Easy,23.3166%;,
735,Asteroid Collision,https://leetcode.com/problems/asteroid-collision,N,44.40%,Medium,43.967%;,
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,N,66.60%,Medium,20.6549%;,
740,Delete and Earn,https://leetcode.com/problems/delete-and-earn,N,57.40%,Medium,17.8893%;,
743,Network Delay Time,https://leetcode.com/problems/network-delay-time,N,51.50%,Medium,2.434%;,
746,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,N,62.50%,Easy,4.84135%;,
752,Open the Lock,https://leetcode.com/problems/open-the-lock,N,55.50%,Medium,17.2711%;,
429,N-ary Tree Level Order Traversal,https://leetcode.com/problems/n-ary-tree-level-order-traversal,N,70.60%,Medium,21.0493%;,
428,Serialize and Deserialize N-ary Tree,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Y,65.50%,Hard,18.3486%;,
430,Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,N,59.50%,Medium,8.08023%;,
763,Partition Labels,https://leetcode.com/problems/partition-labels,N,79.80%,Medium,9.84095%;,
767,Reorganize String,https://leetcode.com/problems/reorganize-string,N,52.80%,Medium,58.4964%;,
772,Basic Calculator III,https://leetcode.com/problems/basic-calculator-iii,Y,48.60%,Hard,35.9618%;,
773,Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle,N,63.90%,Hard,17.8893%;,
703,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream,N,55.50%,Easy,8.28183%;,
704,Binary Search,https://leetcode.com/problems/binary-search,N,55.10%,Easy,1.16165%;,
777,Swap Adjacent in LR String,https://leetcode.com/problems/swap-adjacent-in-lr-string,N,37.10%,Medium,17.6689%;,
778,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water,N,59.70%,Hard,6.903%;,
779,K-th Symbol in Grammar,https://leetcode.com/problems/k-th-symbol-in-grammar,N,40.90%,Medium,12.7609%;,
781,Rabbits in Forest,https://leetcode.com/problems/rabbits-in-forest,N,55.20%,Medium,24.9931%;,
784,Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation,N,73.50%,Medium,4.56854%;,
785,Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite,N,52.70%,Medium,17.5074%;,
787,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,N,35.90%,Medium,27.5794%;,
790,Domino and Tromino Tiling,https://leetcode.com/problems/domino-and-tromino-tiling,N,48.40%,Medium,12.7337%;,
792,Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences,N,51.90%,Medium,15.4166%;,
796,Rotate String,https://leetcode.com/problems/rotate-string,N,54.20%,Easy,11.6245%;,
706,Design HashMap,https://leetcode.com/problems/design-hashmap,N,65.00%,Easy,14.0897%;,
802,Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states,N,55.30%,Medium,12.673%;,
804,Unique Morse Code Words,https://leetcode.com/problems/unique-morse-code-words,N,82.70%,Easy,4.36651%;,
814,Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning,N,72.60%,Medium,6.70077%;,
815,Bus Routes,https://leetcode.com/problems/bus-routes,N,45.70%,Hard,20.383%;,
818,Race Car,https://leetcode.com/problems/race-car,N,43.50%,Hard,53.9446%;,
819,Most Common Word,https://leetcode.com/problems/most-common-word,N,44.90%,Easy,5.34705%;,
823,Binary Trees With Factors,https://leetcode.com/problems/binary-trees-with-factors,N,50.00%,Medium,30.6869%;,
826,Most Profit Assigning Work,https://leetcode.com/problems/most-profit-assigning-work,N,44.50%,Medium,13.2126%;,
827,Making A Large Island,https://leetcode.com/problems/making-a-large-island,N,44.70%,Hard,37.7417%;,
828,Count Unique Characters of All Substrings of a Given String,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string,N,51.70%,Hard,87.2043%;,
622,Design Circular Queue,https://leetcode.com/problems/design-circular-queue,N,51.80%,Medium,8.52941%;,
489,Robot Room Cleaner,https://leetcode.com/problems/robot-room-cleaner,Y,76.50%,Hard,38.88%;,
836,Rectangle Overlap,https://leetcode.com/problems/rectangle-overlap,N,43.60%,Easy,0.590029%;,
838,Push Dominoes,https://leetcode.com/problems/push-dominoes,N,57.00%,Medium,25.4772%;,
841,Keys and Rooms,https://leetcode.com/problems/keys-and-rooms,N,70.20%,Medium,16.1532%;,
847,Shortest Path Visiting All Nodes,https://leetcode.com/problems/shortest-path-visiting-all-nodes,N,61.30%,Hard,24.9931%;,
849,Maximize Distance to Closest Person,https://leetcode.com/problems/maximize-distance-to-closest-person,N,47.60%,Medium,7.8531%;,
852,Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array,N,69.40%,Medium,11.0703%;,
857,Minimum Cost to Hire K Workers,https://leetcode.com/problems/minimum-cost-to-hire-k-workers,N,52.00%,Hard,15.4166%;,
862,Shortest Subarray with Sum at Least K,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,N,26.10%,Hard,8.23186%;,
863,All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,N,62.10%,Medium,57.8269%;,
867,Transpose Matrix,https://leetcode.com/problems/transpose-matrix,N,63.40%,Easy,8.03794%;,
871,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,N,39.90%,Hard,38.2393%;,
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas,N,52.20%,Medium,37.5164%;,
876,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,N,73.90%,Easy,1.46864%;,
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight,N,46.10%,Medium,4.33911%;,
886,Possible Bipartition,https://leetcode.com/problems/possible-bipartition,N,48.40%,Medium,6.2725%;,
889,Construct Binary Tree from Preorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,N,70.80%,Medium,12.2646%;,
894,All Possible Full Binary Trees,https://leetcode.com/problems/all-possible-full-binary-trees,N,80.00%,Medium,16.843%;,
895,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack,N,66.80%,Hard,33.3224%;,
901,Online Stock Span,https://leetcode.com/problems/online-stock-span,N,65.20%,Medium,16.5506%;,
903,Valid Permutations for DI Sequence,https://leetcode.com/problems/valid-permutations-for-di-sequence,N,57.70%,Hard,41.6627%;,
904,Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets,N,42.60%,Medium,16.5506%;,
907,Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums,N,34.30%,Medium,44.0606%;,
909,Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders,N,40.90%,Medium,40.7267%;,
912,Sort an Array,https://leetcode.com/problems/sort-an-array,N,59.50%,Medium,6.68445%;,
921,Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,N,76.20%,Medium,4.92703%;,
926,Flip String to Monotone Increasing,https://leetcode.com/problems/flip-string-to-monotone-increasing,N,59.60%,Medium,18.5275%;,
929,Unique Email Addresses,https://leetcode.com/problems/unique-email-addresses,N,67.20%,Easy,3.65207%;,
931,Minimum Falling Path Sum,https://leetcode.com/problems/minimum-falling-path-sum,N,68.50%,Medium,9.19572%;,
934,Shortest Bridge,https://leetcode.com/problems/shortest-bridge,N,54.00%,Medium,23.5284%;,
937,Reorder Data in Log Files,https://leetcode.com/problems/reorder-data-in-log-files,N,56.40%,Medium,91.001%;,
941,Valid Mountain Array,https://leetcode.com/problems/valid-mountain-array,N,33.50%,Easy,3.3037%;,
947,Most Stones Removed with Same Row or Column,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,N,58.80%,Medium,1.65598%;,
949,Largest Time for Given Digits,https://leetcode.com/problems/largest-time-for-given-digits,N,35.20%,Medium,22.4815%;,
953,Verifying an Alien Dictionary,https://leetcode.com/problems/verifying-an-alien-dictionary,N,52.70%,Easy,8.3894%;,
958,Check Completeness of a Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree,N,53.80%,Medium,10.3695%;,
962,Maximum Width Ramp,https://leetcode.com/problems/maximum-width-ramp,N,49.00%,Medium,26.6516%;,
968,Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras,N,46.80%,Hard,28.0752%;,
509,Fibonacci Number,https://leetcode.com/problems/fibonacci-number,N,69.20%,Easy,4.1873%;,
973,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,N,65.80%,Medium,70.9466%;,
977,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array,N,71.90%,Easy,7.6821%;,
979,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree,N,72.10%,Medium,37.183%;,
981,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store,N,53.40%,Medium,35.3204%;,
983,Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets,N,64.40%,Medium,33.9317%;,
987,Vertical Order Traversal of a Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,N,44.70%,Hard,30.2917%;,
990,Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations,N,50.70%,Medium,16.0961%;,
992,Subarrays with K Different Integers,https://leetcode.com/problems/subarrays-with-k-different-integers,N,54.40%,Hard,12.6529%;,
993,Cousins in Binary Tree,https://leetcode.com/problems/cousins-in-binary-tree,N,54.20%,Easy,19.2754%;,
994,Rotting Oranges,https://leetcode.com/problems/rotting-oranges,N,52.50%,Medium,51.8456%;,
1004,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii,N,63.40%,Medium,4.668%;,
1008,Construct Binary Search Tree from Preorder Traversal,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,N,81.00%,Medium,4.45085%;,
1010,Pairs of Songs With Total Durations Divisible by 60,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,N,52.90%,Medium,3.01616%;,
1011,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,N,64.60%,Medium,26.6263%;,
1060,Missing Element in Sorted Array,https://leetcode.com/problems/missing-element-in-sorted-array,Y,54.60%,Medium,14.3983%;,
1016,Binary String With Substrings Representing 1 To N,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n,N,57.60%,Medium,20.3296%;,
1020,Number of Enclaves,https://leetcode.com/problems/number-of-enclaves,N,64.90%,Medium,4.15654%;,
1099,Two Sum Less Than K,https://leetcode.com/problems/two-sum-less-than-k,Y,60.80%,Easy,1.8452%;,
1026,Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,N,73.40%,Medium,13.8268%;,
1032,Stream of Characters,https://leetcode.com/problems/stream-of-characters,N,51.60%,Hard,15.4166%;,
1151,Minimum Swaps to Group All 1's Together,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,Y,60.90%,Medium,22.5746%;,
1152,Analyze User Website Visit Pattern,https://leetcode.com/problems/analyze-user-website-visit-pattern,Y,43.30%,Medium,95.3566%;,
1039,Minimum Score Triangulation of Polygon,https://leetcode.com/problems/minimum-score-triangulation-of-polygon,N,54.60%,Medium,18.0018%;,
1038,Binary Search Tree to Greater Sum Tree,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,N,85.40%,Medium,30.5422%;,
1041,Robot Bounded In Circle,https://leetcode.com/problems/robot-bounded-in-circle,N,55.30%,Medium,34.7992%;,
1044,Longest Duplicate Substring,https://leetcode.com/problems/longest-duplicate-substring,N,30.60%,Hard,52.8976%;,
1166,Design File System,https://leetcode.com/problems/design-file-system,Y,62.00%,Medium,16.2761%;,
1167,Minimum Cost to Connect Sticks,https://leetcode.com/problems/minimum-cost-to-connect-sticks,Y,67.80%,Medium,49.5636%;,
1046,Last Stone Weight,https://leetcode.com/problems/last-stone-weight,N,64.70%,Easy,3.90623%;,
1047,Remove All Adjacent Duplicates In String,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,N,70.40%,Easy,21.1364%;,
1048,Longest String Chain,https://leetcode.com/problems/longest-string-chain,N,59.10%,Medium,12.7337%;,
1197,Minimum Knight Moves,https://leetcode.com/problems/minimum-knight-moves,Y,39.70%,Medium,38.1761%;,
1229,Meeting Scheduler,https://leetcode.com/problems/meeting-scheduler,Y,55.40%,Medium,13.7947%;,
1091,Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix,N,44.50%,Medium,27.009%;,
1216,Valid Palindrome III,https://leetcode.com/problems/valid-palindrome-iii,Y,50.10%,Hard,29.4431%;,
1094,Car Pooling,https://leetcode.com/problems/car-pooling,N,57.30%,Medium,17.3884%;,
1110,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest,N,69.30%,Medium,21.3862%;,
1291,Sequential Digits,https://leetcode.com/problems/sequential-digits,N,61.30%,Medium,44.5652%;,
1130,Minimum Cost Tree From Leaf Values,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,N,68.50%,Medium,14.7215%;,
1299,Replace Elements with Greatest Element on Right Side,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,N,74.70%,Easy,2.18838%;,
1146,Snapshot Array,https://leetcode.com/problems/snapshot-array,N,37.30%,Medium,16.9293%;,
1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence,N,58.80%,Medium,8.98071%;,
1329,Sort the Matrix Diagonally,https://leetcode.com/problems/sort-the-matrix-diagonally,N,83.60%,Medium,9.11345%;,
